# OPPS TRACKER - COMPLETE PLAYER DATABASE
# Generated: 02/09/2025, 02:10:15
# Discord Bot: OPPS TRACKER
# Total Players: 875
#
# DATABASE STATISTICS:
# - Total Players: 875
# - Royalty RP Only: 566
# - Horizon Only: 301
# - Both Servers: 8
# - Currently Tracked: 4
#
# FORMAT: PlayerName [Server(s)] {TrackingStatus} | First Seen | Last Seen | Total Sightings
# ========================================================================================

Busch [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 304
bush [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 272
byOmni [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
c † [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
Cadizie [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 644
callmeb0t [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 316
calm [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 207
CamaroKing69 [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
Canoodles [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 516
cards [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 451
carebearfunTTV [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
Carl Peaches [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 252
Carl. [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 350
Casper [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 1317
Castle [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 866
catch [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 02/09/2025 | Sightings: 727
CBtheNewB [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 23/08/2025 | Sightings: 196
CDR [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 417
Cedric [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
CelsiansTomb [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
chainsawgirl [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 443
ChaosFoxInyx [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 219
CherryMoon [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 732
chev [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 686
chickytendy [Horizon] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 2
Chino [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 177
Cho The Sticky [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 23/08/2025 | Sightings: 655
Chris [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 263
Chris41397 [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 451
Chronis [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
Chuckdeuce [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 730
ciska [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 190
CJEtt [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 451
cjjjj [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 23/08/2025 | Sightings: 204
Cleetus [Horizon] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 158
Clicksy [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 45
CLR_Walnutz [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 455
codex9723 [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 23/08/2025 | Sightings: 47
CodyDxD [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 89
ColdSummers [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
Commander Kilroy [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 469
conne [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 19/08/2025 | Sightings: 372
Controlics [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 149
Costa [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 419
court [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 37
Cpt_Punk [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 19/08/2025 | Sightings: 631
Creamysquid [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 19/08/2025 | Sightings: 452
Crime [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 456
crys_rocc [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
cuppajo [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 02/09/2025 | Sightings: 285
D1 [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
D1Tha0oterr [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
DABRIT [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 455
Dadbodgaming23 [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 158
Daddy [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 452
DADDY NIKITA [Horizon] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 78
DaddysPrincess [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 451
Daemon [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 455
Dag [Horizon] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 1
dahay [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 40
damondhodgy [Horizon] {Not Tracked} | First: 23/08/2025 | Last: 02/09/2025 | Sightings: 277
Dani Love [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 23/08/2025 | Sightings: 454
dasmokebender [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 451
DaveDabble [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
David [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 13
David1993 [Horizon] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 171
Dawz [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 179
Daxr [Horizon] {Not Tracked} | First: 23/08/2025 | Last: 02/09/2025 | Sightings: 276
DeadmanBlake09 [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 13
DeathLever [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 455
DEED [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 278
DeeVect [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 455
DegenBen [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
Dell Dekker [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 932
Demure [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 02/09/2025 | Sightings: 224
Desktop [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 280
DetergentTester [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 23/08/2025 | Sightings: 456
Diablo [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 348
Diamondb4 [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
diana [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 718
DingDongDIngles [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 182
DokvHxpnotic [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 180
Domanik平和 [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 102
domok [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 98
Don [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 214
Doodlebob [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
Dope [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
Dora Da Destroya [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 23/08/2025 | Sightings: 455
Downstem [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
Dr.Somebody [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 8
Dr.Stick [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 18
Drake [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 289
DreamItSiri [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 377
DreamyDream [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 327
Dreflex [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 19/08/2025 | Sightings: 545
Drip [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 688
DrunkIRL [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
dsblueeyes2216 [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 199
DuckDuckGoose [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 461
duffchaser [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 736
DW [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 02/09/2025 | Sightings: 407
dylemma [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 53
Dylwi [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 25
earthtomichelle [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
eevee [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 329
Elena [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 455
Elevat3dd [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 26
